,Product,Date,MERGE,SNOW%,LAND %,SEA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
222,H13,20130708,1,0.028328110337994872,47.647881588498784,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
223,H13,20130709,1,0.04603317929922923,47.63017651953754,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
224,H13,20130710,1,0.030098617234102676,47.64611108160267,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
225,H13,20130711,1,0.0212460827534926,47.654963616083286,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
226,H13,20130712,1,0.03363963102637513,47.64257006781041,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
227,H13,20130713,1,0.04426267240310722,47.63194702643367,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
228,H13,20130714,1,0.03541013792249714,47.64079956091429,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
229,H13,20130715,1,0.02478709654573663,47.651422602291035,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
230,H13,20130716,1,0.03541013792249714,47.64079956091429,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
231,H13,20130717,1,0.04072165861086319,47.635488040225916,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
232,H13,20130718,1,0.03541013792249714,47.64079956091429,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
233,H13,20130719,1,0.03895115171474117,47.637258547122045,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
